operation,matrix_size,variable_type,num_operations,optimal_thread,optimal_execution_time
addition,117,1,13689,1,0.000333
duplication,117,1,13689,1,0.000333
multiplication,117,1,3203226,4,0.006000
elemwise_multiplication,117,1,13689,1,0.000000
addition,118,0,13924,1,0.000000
duplication,118,0,13924,1,0.000000
multiplication,118,0,3286064,4,0.005667
elemwise_multiplication,118,0,13924,1,0.000333
addition,118,1,13924,1,0.000333
duplication,118,1,13924,1,0.000333
multiplication,118,1,3286064,8,0.005333
elemwise_multiplication,118,1,13924,1,0.000000
addition,119,0,14161,1,0.000333
duplication,119,0,14161,1,0.000333
multiplication,119,0,3370318,4,0.005000
elemwise_multiplication,119,0,14161,1,0.000333
addition,119,1,14161,1,0.000000
duplication,119,1,14161,1,0.000000
multiplication,119,1,3370318,4,0.002333
elemwise_multiplication,119,1,14161,1,0.000000
addition,120,0,14400,1,0.000000
duplication,120,0,14400,2,0.000000
multiplication,120,0,3456000,4,0.003333
elemwise_multiplication,120,0,14400,1,0.000333
addition,120,1,14400,2,0.000333
duplication,120,1,14400,2,0.000000
multiplication,120,1,3456000,4,0.003333
elemwise_multiplication,120,1,14400,2,0.000000
addition,121,0,14641,1,0.000000
duplication,121,0,14641,1,0.000333
multiplication,121,0,3543122,4,0.003000
elemwise_multiplication,121,0,14641,1,0.000000
addition,121,1,14641,1,0.000333
duplication,121,1,14641,1,0.000000
multiplication,121,1,3543122,8,0.004000
elemwise_multiplication,121,1,14641,2,0.000000
addition,122,0,14884,1,0.000333
duplication,122,0,14884,1,0.000000
multiplication,122,0,3631696,8,0.003333
elemwise_multiplication,122,0,14884,1,0.000000
addition,122,1,14884,1,0.000333
duplication,122,1,14884,1,0.000000
multiplication,122,1,3631696,8,0.004667
elemwise_multiplication,122,1,14884,1,0.000000
addition,123,0,15129,2,0.000333
duplication,123,0,15129,1,0.000000
multiplication,123,0,3721734,8,0.003667
elemwise_multiplication,123,0,15129,2,0.000000
addition,123,1,15129,1,0.000000
duplication,123,1,15129,2,0.000000
multiplication,123,1,3721734,4,0.003667
elemwise_multiplication,123,1,15129,1,0.000000
addition,124,0,15376,2,0.000333
duplication,124,0,15376,1,0.000000
multiplication,124,0,3813248,8,0.004000
elemwise_multiplication,124,0,15376,1,0.000000
addition,124,1,15376,1,0.000333
duplication,124,1,15376,2,0.000000
multiplication,124,1,3813248,8,0.003667
elemwise_multiplication,124,1,15376,1,0.000000
addition,125,0,15625,1,0.000000
duplication,125,0,15625,1,0.000000
multiplication,125,0,3906250,8,0.004000
elemwise_multiplication,125,0,15625,1,0.000000
addition,125,1,15625,1,0.000333
duplication,125,1,15625,1,0.000000
multiplication,125,1,3906250,4,0.004333
elemwise_multiplication,125,1,15625,2,0.000333
addition,126,0,15876,2,0.000333
duplication,126,0,15876,2,0.000000
multiplication,126,0,4000752,16,0.004333
elemwise_multiplication,126,0,15876,1,0.000000
addition,126,1,15876,1,0.000000
duplication,126,1,15876,1,0.000000
multiplication,126,1,4000752,8,0.004333
elemwise_multiplication,126,1,15876,2,0.000000
addition,127,0,16129,2,0.000333
duplication,127,0,16129,2,0.000000
multiplication,127,0,4096766,16,0.004667
elemwise_multiplication,127,0,16129,2,0.000000
addition,127,1,16129,1,0.000000
duplication,127,1,16129,2,0.000333
multiplication,127,1,4096766,8,0.004000
elemwise_multiplication,127,1,16129,1,0.000000
addition,128,0,16384,1,0.000333
duplication,128,0,16384,1,0.000000
multiplication,128,0,4194304,16,0.008333
elemwise_multiplication,128,0,16384,1,0.000333
addition,128,1,16384,1,0.000333
duplication,128,1,16384,2,0.000333
multiplication,128,1,4194304,4,0.009000
elemwise_multiplication,128,1,16384,1,0.000333
addition,129,0,16641,4,0.000667
duplication,129,0,16641,2,0.000333
multiplication,129,0,4293378,8,0.004667
elemwise_multiplication,129,0,16641,1,0.000000
addition,129,1,16641,1,0.000000
duplication,129,1,16641,1,0.000000
multiplication,129,1,4293378,16,0.007667
elemwise_multiplication,129,1,16641,1,0.000333
addition,130,0,16900,1,0.000333
duplication,130,0,16900,1,0.000333
multiplication,130,0,4394000,8,0.002667
elemwise_multiplication,130,0,16900,2,0.000000
addition,130,1,16900,2,0.000000
duplication,130,1,16900,2,0.000000
multiplication,130,1,4394000,8,0.002667
elemwise_multiplication,130,1,16900,1,0.000000
addition,131,0,17161,1,0.000000
duplication,131,0,17161,1,0.000000
multiplication,131,0,4496182,4,0.002667
elemwise_multiplication,131,0,17161,1,0.000000
addition,131,1,17161,1,0.000000
duplication,131,1,17161,1,0.000000
multiplication,131,1,4496182,8,0.002667
elemwise_multiplication,131,1,17161,1,0.000000
addition,132,0,17424,2,0.000000
duplication,132,0,17424,2,0.000000
multiplication,132,0,4599936,8,0.002333
elemwise_multiplication,132,0,17424,1,0.000000
addition,132,1,17424,1,0.000000
duplication,132,1,17424,1,0.000000
multiplication,132,1,4599936,8,0.002667
elemwise_multiplication,132,1,17424,2,0.000000
addition,133,0,17689,2,0.000000
duplication,133,0,17689,1,0.000000
multiplication,133,0,4705274,8,0.002667
elemwise_multiplication,133,0,17689,1,0.000000
addition,133,1,17689,2,0.000000
duplication,133,1,17689,1,0.000000
multiplication,133,1,4705274,16,0.002667
elemwise_multiplication,133,1,17689,1,0.000000
addition,134,0,17956,2,0.000000
duplication,134,0,17956,1,0.000000
multiplication,134,0,4812208,8,0.003000
elemwise_multiplication,134,0,17956,1,0.000000
addition,134,1,17956,1,0.000000
duplication,134,1,17956,1,0.000000
multiplication,134,1,4812208,8,0.002667
elemwise_multiplication,134,1,17956,1,0.000000
addition,135,0,18225,1,0.000000
duplication,135,0,18225,2,0.000000
multiplication,135,0,4920750,8,0.002667
elemwise_multiplication,135,0,18225,1,0.000000
addition,135,1,18225,1,0.000000
duplication,135,1,18225,2,0.000000
multiplication,135,1,4920750,8,0.002667
elemwise_multiplication,135,1,18225,1,0.000000
addition,136,0,18496,1,0.000000
duplication,136,0,18496,2,0.000000
multiplication,136,0,5030912,16,0.003000
elemwise_multiplication,136,0,18496,1,0.000000
addition,136,1,18496,2,0.000000
duplication,136,1,18496,1,0.000000
multiplication,136,1,5030912,16,0.003333
elemwise_multiplication,136,1,18496,1,0.000000
addition,137,0,18769,1,0.000000
duplication,137,0,18769,2,0.000000
multiplication,137,0,5142706,8,0.002667
elemwise_multiplication,137,0,18769,2,0.000000
addition,137,1,18769,1,0.000000
duplication,137,1,18769,1,0.000000
multiplication,137,1,5142706,16,0.002667
elemwise_multiplication,137,1,18769,1,0.000000
addition,138,0,19044,1,0.000000
duplication,138,0,19044,1,0.000000
multiplication,138,0,5256144,4,0.003000
elemwise_multiplication,138,0,19044,2,0.000000
addition,138,1,19044,2,0.000000
duplication,138,1,19044,1,0.000000
multiplication,138,1,5256144,16,0.003000
elemwise_multiplication,138,1,19044,1,0.000000
addition,139,0,19321,1,0.000000
duplication,139,0,19321,1,0.000000
multiplication,139,0,5371238,4,0.003333
elemwise_multiplication,139,0,19321,1,0.000000
addition,139,1,19321,1,0.000000
duplication,139,1,19321,2,0.000000
multiplication,139,1,5371238,8,0.003000
elemwise_multiplication,139,1,19321,2,0.000000
addition,140,0,19600,1,0.000000
duplication,140,0,19600,1,0.000000
multiplication,140,0,5488000,8,0.005000
elemwise_multiplication,140,0,19600,2,0.000000
addition,140,1,19600,1,0.000000
duplication,140,1,19600,1,0.000333
multiplication,140,1,5488000,8,0.003000
elemwise_multiplication,140,1,19600,1,0.000000
addition,141,0,19881,1,0.000000
duplication,141,0,19881,1,0.000000
multiplication,141,0,5606442,4,0.003333
elemwise_multiplication,141,0,19881,1,0.000000
addition,141,1,19881,2,0.000000
duplication,141,1,19881,1,0.000000
multiplication,141,1,5606442,4,0.003000
elemwise_multiplication,141,1,19881,2,0.000000
addition,142,0,20164,2,0.000000
duplication,142,0,20164,1,0.000000
multiplication,142,0,5726576,16,0.003000
elemwise_multiplication,142,0,20164,1,0.000000
addition,142,1,20164,1,0.000000
duplication,142,1,20164,1,0.000000
multiplication,142,1,5726576,8,0.003000
elemwise_multiplication,142,1,20164,2,0.000000
addition,143,0,20449,2,0.000000
duplication,143,0,20449,1,0.000000
multiplication,143,0,5848414,8,0.003000
elemwise_multiplication,143,0,20449,1,0.000000
addition,143,1,20449,2,0.000000
duplication,143,1,20449,1,0.000000
multiplication,143,1,5848414,8,0.003333
elemwise_multiplication,143,1,20449,1,0.000000
addition,144,0,20736,1,0.000000
duplication,144,0,20736,1,0.000000
multiplication,144,0,5971968,16,0.003333
elemwise_multiplication,144,0,20736,1,0.000000
addition,144,1,20736,1,0.000000
duplication,144,1,20736,2,0.000000
multiplication,144,1,5971968,8,0.003333
elemwise_multiplication,144,1,20736,1,0.000000
addition,145,0,21025,1,0.000000
duplication,145,0,21025,2,0.000000
multiplication,145,0,6097250,8,0.003000
elemwise_multiplication,145,0,21025,2,0.000000
addition,145,1,21025,2,0.000000
duplication,145,1,21025,1,0.000000
multiplication,145,1,6097250,8,0.003667
elemwise_multiplication,145,1,21025,1,0.000000
addition,146,0,21316,2,0.000000
