operation,matrix_size,variable_type,num_operations,optimal_thread,optimal_execution_time
addition,282,0,79524,4,0.000000
duplication,282,0,79524,4,0.000000
multiplication,282,0,44851536,16,0.026667
elemwise_multiplication,282,0,79524,8,0.000000
addition,282,1,79524,8,0.000000
duplication,282,1,79524,4,0.000000
multiplication,282,1,44851536,16,0.026667
elemwise_multiplication,282,1,79524,8,0.000000
addition,283,0,80089,1,0.000333
duplication,283,0,80089,2,0.000333
multiplication,283,0,45330374,8,0.023667
elemwise_multiplication,283,0,80089,1,0.000000
addition,283,1,80089,1,0.000333
duplication,283,1,80089,1,0.000000
multiplication,283,1,45330374,8,0.025000
elemwise_multiplication,283,1,80089,8,0.000000
addition,284,0,80656,8,0.000000
duplication,284,0,80656,4,0.000000
multiplication,284,0,45812608,8,0.023667
elemwise_multiplication,284,0,80656,4,0.000000
addition,284,1,80656,2,0.000000
duplication,284,1,80656,2,0.000000
multiplication,284,1,45812608,8,0.024000
elemwise_multiplication,284,1,80656,2,0.000000
addition,285,0,81225,2,0.000333
duplication,285,0,81225,4,0.000000
multiplication,285,0,46298250,8,0.024333
elemwise_multiplication,285,0,81225,4,0.000000
addition,285,1,81225,4,0.000000
duplication,285,1,81225,1,0.000000
multiplication,285,1,46298250,16,0.026333
elemwise_multiplication,285,1,81225,8,0.000000
addition,286,0,81796,4,0.000000
duplication,286,0,81796,4,0.000000
multiplication,286,0,46787312,8,0.025333
elemwise_multiplication,286,0,81796,2,0.000000
addition,286,1,81796,1,0.000333
duplication,286,1,81796,8,0.000000
multiplication,286,1,46787312,16,0.026333
elemwise_multiplication,286,1,81796,8,0.000000
addition,287,0,82369,1,0.000333
duplication,287,0,82369,2,0.000333
multiplication,287,0,47279806,8,0.024333
elemwise_multiplication,287,0,82369,4,0.000000
addition,287,1,82369,1,0.000333
duplication,287,1,82369,8,0.000000
multiplication,287,1,47279806,16,0.025333
elemwise_multiplication,287,1,82369,4,0.000000
addition,288,0,82944,1,0.000333
duplication,288,0,82944,2,0.000333
multiplication,288,0,47775744,8,0.025000
elemwise_multiplication,288,0,82944,4,0.000000
addition,288,1,82944,4,0.000000
duplication,288,1,82944,2,0.000333
multiplication,288,1,47775744,8,0.026000
elemwise_multiplication,288,1,82944,1,0.000000
addition,289,0,83521,1,0.000333
duplication,289,0,83521,8,0.000000
multiplication,289,0,48275138,8,0.025667
elemwise_multiplication,289,0,83521,2,0.000000
addition,289,1,83521,1,0.000333
duplication,289,1,83521,8,0.000000
multiplication,289,1,48275138,8,0.029667
elemwise_multiplication,289,1,83521,2,0.000333
addition,290,0,84100,2,0.000333
duplication,290,0,84100,8,0.000000
multiplication,290,0,48778000,8,0.028333
elemwise_multiplication,290,0,84100,2,0.000000
addition,290,1,84100,1,0.000333
duplication,290,1,84100,2,0.000000
multiplication,290,1,48778000,16,0.031000
elemwise_multiplication,290,1,84100,2,0.000333
addition,291,0,84681,1,0.000333
duplication,291,0,84681,4,0.000000
multiplication,291,0,49284342,8,0.026000
elemwise_multiplication,291,0,84681,4,0.000000
addition,291,1,84681,4,0.000000
duplication,291,1,84681,8,0.000000
multiplication,291,1,49284342,8,0.026667
elemwise_multiplication,291,1,84681,4,0.000000
addition,292,0,85264,1,0.000333
duplication,292,0,85264,8,0.000000
multiplication,292,0,49794176,8,0.025000
elemwise_multiplication,292,0,85264,8,0.000000
addition,292,1,85264,1,0.000333
duplication,292,1,85264,4,0.000000
multiplication,292,1,49794176,8,0.026000
elemwise_multiplication,292,1,85264,4,0.000000
addition,293,0,85849,4,0.000000
duplication,293,0,85849,4,0.000000
multiplication,293,0,50307514,8,0.026333
elemwise_multiplication,293,0,85849,2,0.000000
addition,293,1,85849,2,0.000333
duplication,293,1,85849,1,0.000000
multiplication,293,1,50307514,8,0.026667
elemwise_multiplication,293,1,85849,1,0.000333
addition,294,0,86436,1,0.000333
duplication,294,0,86436,8,0.000000
multiplication,294,0,50824368,8,0.026667
elemwise_multiplication,294,0,86436,1,0.000333
addition,294,1,86436,1,0.000333
duplication,294,1,86436,8,0.000000
multiplication,294,1,50824368,16,0.027000
elemwise_multiplication,294,1,86436,2,0.000333
addition,295,0,87025,4,0.000000
duplication,295,0,87025,1,0.000333
multiplication,295,0,51344750,8,0.027333
elemwise_multiplication,295,0,87025,8,0.000000
addition,295,1,87025,4,0.000000
duplication,295,1,87025,2,0.000000
multiplication,295,1,51344750,8,0.028333
elemwise_multiplication,295,1,87025,2,0.000000
addition,296,0,87616,4,0.000000
duplication,296,0,87616,2,0.000000
multiplication,296,0,51868672,8,0.027667
elemwise_multiplication,296,0,87616,4,0.000000
addition,296,1,87616,4,0.000000
duplication,296,1,87616,4,0.000000
multiplication,296,1,51868672,8,0.028667
elemwise_multiplication,296,1,87616,4,0.000000
addition,297,0,88209,1,0.000333
duplication,297,0,88209,1,0.000000
multiplication,297,0,52396146,8,0.027333
elemwise_multiplication,297,0,88209,4,0.000000
addition,297,1,88209,2,0.000333
duplication,297,1,88209,8,0.000000
multiplication,297,1,52396146,8,0.028333
elemwise_multiplication,297,1,88209,8,0.000000
addition,298,0,88804,1,0.000333
duplication,298,0,88804,4,0.000000
multiplication,298,0,52927184,16,0.031667
elemwise_multiplication,298,0,88804,4,0.000000
addition,298,1,88804,4,0.000000
duplication,298,1,88804,8,0.000000
multiplication,298,1,52927184,16,0.035000
elemwise_multiplication,298,1,88804,4,0.000000
addition,299,0,89401,4,0.000333
duplication,299,0,89401,8,0.000000
multiplication,299,0,53461798,8,0.028000
elemwise_multiplication,299,0,89401,4,0.000000
addition,299,1,89401,4,0.000000
duplication,299,1,89401,8,0.000000
multiplication,299,1,53461798,8,0.028333
elemwise_multiplication,299,1,89401,2,0.000333
addition,300,0,90000,1,0.000333
duplication,300,0,90000,1,0.000000
multiplication,300,0,54000000,16,0.029333
elemwise_multiplication,300,0,90000,1,0.000000
addition,300,1,90000,1,0.000333
duplication,300,1,90000,2,0.000333
multiplication,300,1,54000000,8,0.029333
elemwise_multiplication,300,1,90000,8,0.000000
addition,301,0,90601,1,0.000333
duplication,301,0,90601,8,0.000000
multiplication,301,0,54541802,16,0.029000
elemwise_multiplication,301,0,90601,8,0.000000
addition,301,1,90601,1,0.000333
duplication,301,1,90601,8,0.000000
multiplication,301,1,54541802,8,0.029667
elemwise_multiplication,301,1,90601,1,0.000000
addition,302,0,91204,1,0.000333
duplication,302,0,91204,4,0.000000
multiplication,302,0,55087216,8,0.029333
elemwise_multiplication,302,0,91204,8,0.000000
addition,302,1,91204,2,0.000333
duplication,302,1,91204,4,0.000000
multiplication,302,1,55087216,8,0.030000
elemwise_multiplication,302,1,91204,4,0.000000
addition,303,0,91809,4,0.000333
duplication,303,0,91809,1,0.000333
multiplication,303,0,55636254,16,0.029667
elemwise_multiplication,303,0,91809,4,0.000000
addition,303,1,91809,2,0.000333
duplication,303,1,91809,4,0.000000
multiplication,303,1,55636254,8,0.030000
elemwise_multiplication,303,1,91809,1,0.000333
addition,304,0,92416,1,0.000333
duplication,304,0,92416,2,0.000333
multiplication,304,0,56188928,16,0.029333
elemwise_multiplication,304,0,92416,4,0.000000
addition,304,1,92416,1,0.000333
duplication,304,1,92416,2,0.000000
multiplication,304,1,56188928,8,0.029333
elemwise_multiplication,304,1,92416,1,0.000333
addition,305,0,93025,1,0.000333
duplication,305,0,93025,4,0.000000
multiplication,305,0,56745250,8,0.029333
elemwise_multiplication,305,0,93025,4,0.000000
addition,305,1,93025,1,0.000333
duplication,305,1,93025,2,0.000333
multiplication,305,1,56745250,8,0.030000
elemwise_multiplication,305,1,93025,8,0.000000
addition,306,0,93636,1,0.000333
duplication,306,0,93636,4,0.000000
multiplication,306,0,57305232,16,0.030333
elemwise_multiplication,306,0,93636,1,0.000333
addition,306,1,93636,2,0.000333
duplication,306,1,93636,1,0.000333
multiplication,306,1,57305232,16,0.030333
elemwise_multiplication,306,1,93636,2,0.000333
addition,307,0,94249,2,0.000333
duplication,307,0,94249,2,0.000000
multiplication,307,0,57868886,8,0.031667
elemwise_multiplication,307,0,94249,4,0.000000
addition,307,1,94249,1,0.000333
duplication,307,1,94249,2,0.000333
multiplication,307,1,57868886,16,0.031667
elemwise_multiplication,307,1,94249,8,0.000000
addition,308,0,94864,4,0.000000
duplication,308,0,94864,8,0.000000
multiplication,308,0,58436224,16,0.031667
elemwise_multiplication,308,0,94864,4,0.000000
addition,308,1,94864,4,0.000000
duplication,308,1,94864,8,0.000000
multiplication,308,1,58436224,16,0.032000
elemwise_multiplication,308,1,94864,1,0.000333
addition,309,0,95481,8,0.000000
duplication,309,0,95481,2,0.000000
multiplication,309,0,59007258,16,0.036333
elemwise_multiplication,309,0,95481,8,0.000000
addition,309,1,95481,2,0.000333
duplication,309,1,95481,1,0.000333
multiplication,309,1,59007258,8,0.036333
elemwise_multiplication,309,1,95481,1,0.000333
addition,310,0,96100,4,0.000000
duplication,310,0,96100,8,0.000000
multiplication,310,0,59582000,8,0.032000
elemwise_multiplication,310,0,96100,2,0.000333
addition,310,1,96100,2,0.000333
duplication,310,1,96100,4,0.000000
multiplication,310,1,59582000,8,0.033000
elemwise_multiplication,310,1,96100,4,0.000000
addition,311,0,96721,4,0.000333
duplication,311,0,96721,4,0.000000
multiplication,311,0,60160462,8,0.032000
elemwise_multiplication,311,0,96721,4,0.000000
addition,311,1,96721,1,0.000333
duplication,311,1,96721,1,0.000333
multiplication,311,1,60160462,8,0.032667
elemwise_multiplication,311,1,96721,8,0.000000
addition,312,0,97344,4,0.000000
duplication,312,0,97344,4,0.000000
multiplication,312,0,60742656,8,0.030667
elemwise_multiplication,312,0,97344,4,0.000000
addition,312,1,97344,2,0.000333
duplication,312,1,97344,1,0.000333
multiplication,312,1,60742656,8,0.032667
elemwise_multiplication,312,1,97344,1,0.000000
addition,313,0,97969,4,0.000000
duplication,313,0,97969,1,0.000333
multiplication,313,0,61328594,16,0.032333
elemwise_multiplication,313,0,97969,1,0.000333
addition,313,1,97969,8,0.000000
duplication,313,1,97969,1,0.000333
multiplication,313,1,61328594,8,0.032667
elemwise_multiplication,313,1,97969,8,0.000000
addition,314,0,98596,1,0.000333
duplication,314,0,98596,2,0.000333
multiplication,314,0,61918288,8,0.032333
elemwise_multiplication,314,0,98596,1,0.000333
addition,314,1,98596,2,0.000333
duplication,314,1,98596,4,0.000000
multiplication,314,1,61918288,8,0.033667
elemwise_multiplication,314,1,98596,2,0.000000
addition,315,0,99225,2,0.000333
duplication,315,0,99225,4,0.000000
multiplication,315,0,62511750,8,0.047000
elemwise_multiplication,315,0,99225,8,0.000000
addition,315,1,99225,4,0.000000
duplication,315,1,99225,4,0.000000
multiplication,315,1,62511750,8,0.038000
elemwise_multiplication,315,1,99225,8,0.000000
addition,316,0,99856,1,0.000333
duplication,316,0,99856,1,0.000333
multiplication,316,0,63108992,8,0.032667
elemwise_multiplication,316,0,99856,1,0.000333
addition,316,1,99856,4,0.000000
duplication,316,1,99856,4,0.000000
multiplication,316,1,63108992,8,0.033333
elemwise_multiplication,316,1,99856,1,0.000333
addition,317,0,100489,4,0.000000
duplication,317,0,100489,4,0.000000
multiplication,317,0,63710026,16,0.033333
elemwise_multiplication,317,0,100489,2,0.000333
addition,317,1,100489,1,0.000333
duplication,317,1,100489,8,0.000000
multiplication,317,1,63710026,8,0.034667
elemwise_multiplication,317,1,100489,2,0.000333
addition,318,0,101124,4,0.000000
duplication,318,0,101124,1,0.000333
multiplication,318,0,64314864,8,0.033667
elemwise_multiplication,318,0,101124,8,0.000000
addition,318,1,101124,1,0.000333
duplication,318,1,101124,8,0.000000
multiplication,318,1,64314864,8,0.035000
elemwise_multiplication,318,1,101124,1,0.000333
addition,319,0,101761,4,0.000000
duplication,319,0,101761,4,0.000000
multiplication,319,0,64923518,16,0.034000
elemwise_multiplication,319,0,101761,4,0.000000
addition,319,1,101761,1,0.000333
duplication,319,1,101761,1,0.000333
multiplication,319,1,64923518,8,0.035333
elemwise_multiplication,319,1,101761,2,0.000333
addition,320,0,102400,1,0.000333
duplication,320,0,102400,1,0.000333
multiplication,320,0,65536000,16,0.034667
elemwise_multiplication,320,0,102400,1,0.000333
addition,320,1,102400,2,0.000333
duplication,320,1,102400,1,0.000333
multiplication,320,1,65536000,8,0.035333
elemwise_multiplication,320,1,102400,1,0.000333
addition,321,0,103041,2,0.000333
duplication,321,0,103041,4,0.000000
multiplication,321,0,66152322,8,0.035000
elemwise_multiplication,321,0,103041,2,0.000000
addition,321,1,103041,4,0.000333
duplication,321,1,103041,1,0.000333
multiplication,321,1,66152322,8,0.036000
elemwise_multiplication,321,1,103041,4,0.000000
addition,322,0,103684,2,0.000333
duplication,322,0,103684,2,0.000333
multiplication,322,0,66772496,8,0.035333
elemwise_multiplication,322,0,103684,2,0.000333
addition,322,1,103684,4,0.000333
duplication,322,1,103684,1,0.000333
multiplication,322,1,66772496,8,0.036667
elemwise_multiplication,322,1,103684,1,0.000333
addition,323,0,104329,2,0.000333
duplication,323,0,104329,1,0.000333
multiplication,323,0,67396534,16,0.040000
elemwise_multiplication,323,0,104329,1,0.000333
addition,323,1,104329,2,0.000333
duplication,323,1,104329,1,0.000333
multiplication,323,1,67396534,8,0.037667
elemwise_multiplication,323,1,104329,2,0.000333
addition,324,0,104976,4,0.000333
duplication,324,0,104976,8,0.000000
multiplication,324,0,68024448,8,0.036000
elemwise_multiplication,324,0,104976,1,0.000333
addition,324,1,104976,2,0.000333
duplication,324,1,104976,1,0.000333
multiplication,324,1,68024448,8,0.037333
elemwise_multiplication,324,1,104976,1,0.000333
addition,325,0,105625,8,0.000000
duplication,325,0,105625,1,0.000333
multiplication,325,0,68656250,8,0.037333
elemwise_multiplication,325,0,105625,4,0.000000
addition,325,1,105625,1,0.000333
duplication,325,1,105625,1,0.000333
multiplication,325,1,68656250,8,0.038000
elemwise_multiplication,325,1,105625,8,0.000000
addition,326,0,106276,1,0.000333
duplication,326,0,106276,8,0.000000
multiplication,326,0,69291952,8,0.036000
elemwise_multiplication,326,0,106276,8,0.000000
addition,326,1,106276,4,0.000000
duplication,326,1,106276,2,0.000333
multiplication,326,1,69291952,8,0.040333
elemwise_multiplication,326,1,106276,2,0.000333
addition,327,0,106929,4,0.000000
duplication,327,0,106929,1,0.000333
multiplication,327,0,69931566,16,0.041333
elemwise_multiplication,327,0,106929,2,0.000000
addition,327,1,106929,2,0.000333
duplication,327,1,106929,4,0.000000
multiplication,327,1,69931566,16,0.049667
elemwise_multiplication,327,1,106929,2,0.000333
addition,328,0,107584,4,0.000000
duplication,328,0,107584,4,0.000000
multiplication,328,0,70575104,8,0.037333
elemwise_multiplication,328,0,107584,2,0.000333
addition,328,1,107584,1,0.000333
duplication,328,1,107584,1,0.000333
multiplication,328,1,70575104,8,0.038000
elemwise_multiplication,328,1,107584,4,0.000000
addition,329,0,108241,2,0.000333
duplication,329,0,108241,2,0.000333
multiplication,329,0,71222578,8,0.037667
elemwise_multiplication,329,0,108241,2,0.000333
addition,329,1,108241,1,0.000333
duplication,329,1,108241,1,0.000333
multiplication,329,1,71222578,8,0.039333
elemwise_multiplication,329,1,108241,2,0.000333
addition,330,0,108900,4,0.000333
duplication,330,0,108900,1,0.000333
multiplication,330,0,71874000,8,0.038333
elemwise_multiplication,330,0,108900,4,0.000000
addition,330,1,108900,1,0.000333
duplication,330,1,108900,8,0.000000
multiplication,330,1,71874000,16,0.039667
elemwise_multiplication,330,1,108900,1,0.000333
addition,331,0,109561,2,0.000333
duplication,331,0,109561,8,0.000000
multiplication,331,0,72529382,8,0.040000
elemwise_multiplication,331,0,109561,8,0.000000
addition,331,1,109561,2,0.000333
duplication,331,1,109561,4,0.000000
multiplication,331,1,72529382,8,0.043667
elemwise_multiplication,331,1,109561,2,0.000333
addition,332,0,110224,2,0.000333
duplication,332,0,110224,1,0.000333
multiplication,332,0,73188736,8,0.044667
elemwise_multiplication,332,0,110224,1,0.000333
addition,332,1,110224,2,0.000333
duplication,332,1,110224,4,0.000000
multiplication,332,1,73188736,8,0.048333
elemwise_multiplication,332,1,110224,4,0.000000
addition,333,0,110889,8,0.000333
duplication,333,0,110889,2,0.000333
multiplication,333,0,73852074,8,0.045000
elemwise_multiplication,333,0,110889,1,0.000333
addition,333,1,110889,4,0.000000
duplication,333,1,110889,1,0.000333
multiplication,333,1,73852074,16,0.045333
elemwise_multiplication,333,1,110889,8,0.000000
addition,334,0,111556,4,0.000000
duplication,334,0,111556,2,0.000333
multiplication,334,0,74519408,16,0.039000
elemwise_multiplication,334,0,111556,2,0.000333
addition,334,1,111556,4,0.000000
duplication,334,1,111556,1,0.000333
multiplication,334,1,74519408,8,0.041000
elemwise_multiplication,334,1,111556,4,0.000000
addition,335,0,112225,4,0.000000
duplication,335,0,112225,2,0.000333
multiplication,335,0,75190750,16,0.040000
elemwise_multiplication,335,0,112225,4,0.000000
addition,335,1,112225,1,0.000333
duplication,335,1,112225,2,0.000333
multiplication,335,1,75190750,16,0.042333
elemwise_multiplication,335,1,112225,1,0.000333
addition,336,0,112896,1,0.000333
duplication,336,0,112896,1,0.000333
multiplication,336,0,75866112,16,0.040333
elemwise_multiplication,336,0,112896,8,0.000000
addition,336,1,112896,4,0.000000
duplication,336,1,112896,1,0.000333
multiplication,336,1,75866112,16,0.040000
elemwise_multiplication,336,1,112896,4,0.000000
addition,337,0,113569,1,0.000333
duplication,337,0,113569,1,0.000333
multiplication,337,0,76545506,8,0.040667
elemwise_multiplication,337,0,113569,8,0.000000
addition,337,1,113569,2,0.000333
duplication,337,1,113569,4,0.000000
multiplication,337,1,76545506,8,0.042333
elemwise_multiplication,337,1,113569,8,0.000000
addition,338,0,114244,4,0.000000
duplication,338,0,114244,1,0.000333
multiplication,338,0,77228944,16,0.043000
elemwise_multiplication,338,0,114244,4,0.000000
addition,338,1,114244,1,0.000333
duplication,338,1,114244,1,0.000333
multiplication,338,1,77228944,8,0.043000
elemwise_multiplication,338,1,114244,2,0.000333
addition,339,0,114921,2,0.000333
duplication,339,0,114921,1,0.000333
multiplication,339,0,77916438,8,0.042333
elemwise_multiplication,339,0,114921,4,0.000000
addition,339,1,114921,2,0.000333
duplication,339,1,114921,8,0.000000
multiplication,339,1,77916438,8,0.043667
elemwise_multiplication,339,1,114921,4,0.000000
addition,340,0,115600,2,0.000333
duplication,340,0,115600,4,0.000000
multiplication,340,0,78608000,16,0.042000
elemwise_multiplication,340,0,115600,4,0.000000
addition,340,1,115600,8,0.000000
duplication,340,1,115600,1,0.000333
multiplication,340,1,78608000,8,0.043333
elemwise_multiplication,340,1,115600,1,0.000333
addition,341,0,116281,2,0.000333
duplication,341,0,116281,1,0.000333
multiplication,341,0,79303642,16,0.051000
elemwise_multiplication,341,0,116281,4,0.000000
addition,341,1,116281,1,0.000333
duplication,341,1,116281,1,0.000333
multiplication,341,1,79303642,8,0.054333
elemwise_multiplication,341,1,116281,1,0.000333
addition,342,0,116964,1,0.000333
duplication,342,0,116964,1,0.000333
multiplication,342,0,80003376,8,0.043333
elemwise_multiplication,342,0,116964,1,0.000333
addition,342,1,116964,4,0.000000
duplication,342,1,116964,2,0.000333
multiplication,342,1,80003376,8,0.044000
elemwise_multiplication,342,1,116964,1,0.000333
addition,343,0,117649,1,0.000333
duplication,343,0,117649,2,0.000333
multiplication,343,0,80707214,16,0.043667
elemwise_multiplication,343,0,117649,2,0.000333
addition,343,1,117649,2,0.000333
duplication,343,1,117649,1,0.000333
multiplication,343,1,80707214,8,0.043667
elemwise_multiplication,343,1,117649,2,0.000333
addition,344,0,118336,16,0.000333
duplication,344,0,118336,8,0.000000
multiplication,344,0,81415168,8,0.042667
elemwise_multiplication,344,0,118336,2,0.000000
addition,344,1,118336,2,0.000333
duplication,344,1,118336,1,0.000333
multiplication,344,1,81415168,8,0.043333
elemwise_multiplication,344,1,118336,8,0.000000
addition,345,0,119025,4,0.000333
duplication,345,0,119025,4,0.000000
multiplication,345,0,82127250,16,0.049333
elemwise_multiplication,345,0,119025,4,0.000000
addition,345,1,119025,1,0.000333
duplication,345,1,119025,1,0.000333
multiplication,345,1,82127250,8,0.049667
elemwise_multiplication,345,1,119025,1,0.000333
addition,346,0,119716,2,0.000333
duplication,346,0,119716,2,0.000333
multiplication,346,0,82843472,8,0.047667
elemwise_multiplication,346,0,119716,2,0.000333
addition,346,1,119716,2,0.000333
duplication,346,1,119716,4,0.000000
multiplication,346,1,82843472,16,0.048333
elemwise_multiplication,346,1,119716,1,0.000333
addition,347,0,120409,2,0.000333
duplication,347,0,120409,1,0.000333
multiplication,347,0,83563846,8,0.045000
elemwise_multiplication,347,0,120409,1,0.000333
addition,347,1,120409,4,0.000333
duplication,347,1,120409,4,0.000000
multiplication,347,1,83563846,16,0.047000
elemwise_multiplication,347,1,120409,2,0.000333
addition,348,0,121104,2,0.000333
duplication,348,0,121104,1,0.000333
multiplication,348,0,84288384,8,0.046000
elemwise_multiplication,348,0,121104,1,0.000333
addition,348,1,121104,2,0.000333
duplication,348,1,121104,1,0.000333
multiplication,348,1,84288384,8,0.046333
elemwise_multiplication,348,1,121104,1,0.000333
addition,349,0,121801,2,0.000333
duplication,349,0,121801,8,0.000000
multiplication,349,0,85017098,16,0.046000
elemwise_multiplication,349,0,121801,1,0.000333
addition,349,1,121801,2,0.000333
duplication,349,1,121801,1,0.000333
multiplication,349,1,85017098,8,0.047333
elemwise_multiplication,349,1,121801,4,0.000000
addition,350,0,122500,2,0.000333
duplication,350,0,122500,2,0.000333
multiplication,350,0,85750000,16,0.047667
elemwise_multiplication,350,0,122500,8,0.000000
addition,350,1,122500,1,0.000333
duplication,350,1,122500,4,0.000000
multiplication,350,1,85750000,16,0.048000
elemwise_multiplication,350,1,122500,2,0.000333
addition,351,0,123201,4,0.000333
duplication,351,0,123201,1,0.000333
multiplication,351,0,86487102,8,0.055000
elemwise_multiplication,351,0,123201,4,0.000333
addition,351,1,123201,4,0.000333
duplication,351,1,123201,1,0.000333
multiplication,351,1,86487102,8,0.060333
elemwise_multiplication,351,1,123201,2,0.000333
addition,352,0,123904,4,0.000333
duplication,352,0,123904,2,0.000333
multiplication,352,0,87228416,8,0.047667
elemwise_multiplication,352,0,123904,4,0.000000
addition,352,1,123904,4,0.000000
duplication,352,1,123904,1,0.000333
multiplication,352,1,87228416,8,0.050667
elemwise_multiplication,352,1,123904,1,0.000333
addition,353,0,124609,2,0.000333
duplication,353,0,124609,2,0.000333
multiplication,353,0,87973954,8,0.049000
elemwise_multiplication,353,0,124609,2,0.000333
addition,353,1,124609,4,0.000000
duplication,353,1,124609,4,0.000000
multiplication,353,1,87973954,16,0.050667
elemwise_multiplication,353,1,124609,4,0.000000
addition,354,0,125316,1,0.000333
duplication,354,0,125316,2,0.000333
multiplication,354,0,88723728,8,0.049333
elemwise_multiplication,354,0,125316,4,0.000000
addition,354,1,125316,2,0.000333
duplication,354,1,125316,4,0.000000
multiplication,354,1,88723728,16,0.050333
elemwise_multiplication,354,1,125316,4,0.000333
addition,355,0,126025,1,0.000333
duplication,355,0,126025,1,0.000333
multiplication,355,0,89477750,8,0.048000
elemwise_multiplication,355,0,126025,2,0.000333
addition,355,1,126025,2,0.000333
duplication,355,1,126025,1,0.000333
multiplication,355,1,89477750,16,0.050000
elemwise_multiplication,355,1,126025,1,0.000333
addition,356,0,126736,4,0.000333
duplication,356,0,126736,4,0.000333
multiplication,356,0,90236032,8,0.062000
elemwise_multiplication,356,0,126736,4,0.000000
addition,356,1,126736,4,0.000000
duplication,356,1,126736,8,0.000000
multiplication,356,1,90236032,8,0.065667
elemwise_multiplication,356,1,126736,1,0.000333
addition,357,0,127449,2,0.000333
duplication,357,0,127449,2,0.000333
multiplication,357,0,90998586,8,0.049667
elemwise_multiplication,357,0,127449,4,0.000000
addition,357,1,127449,1,0.000333
duplication,357,1,127449,1,0.000333
multiplication,357,1,90998586,16,0.051000
elemwise_multiplication,357,1,127449,4,0.000000
addition,358,0,128164,2,0.000333
duplication,358,0,128164,8,0.000000
multiplication,358,0,91765424,16,0.051333
elemwise_multiplication,358,0,128164,1,0.000333
addition,358,1,128164,2,0.000333
duplication,358,1,128164,8,0.000000
multiplication,358,1,91765424,16,0.052000
elemwise_multiplication,358,1,128164,4,0.000000
addition,359,0,128881,2,0.000333
duplication,359,0,128881,8,0.000000
multiplication,359,0,92536558,8,0.052000
elemwise_multiplication,359,0,128881,1,0.000333
addition,359,1,128881,2,0.000333
duplication,359,1,128881,4,0.000000
multiplication,359,1,92536558,8,0.051667
elemwise_multiplication,359,1,128881,1,0.000333
addition,360,0,129600,1,0.000333
duplication,360,0,129600,4,0.000000
multiplication,360,0,93312000,8,0.050667
elemwise_multiplication,360,0,129600,1,0.000333
addition,360,1,129600,1,0.000333
duplication,360,1,129600,1,0.000333
multiplication,360,1,93312000,8,0.050667
elemwise_multiplication,360,1,129600,1,0.000333
addition,361,0,130321,2,0.000333
duplication,361,0,130321,1,0.000333
multiplication,361,0,94091762,16,0.051000
elemwise_multiplication,361,0,130321,2,0.000333
addition,361,1,130321,2,0.000333
duplication,361,1,130321,4,0.000000
multiplication,361,1,94091762,16,0.052667
elemwise_multiplication,361,1,130321,4,0.000000
addition,362,0,131044,4,0.000333
duplication,362,0,131044,8,0.000000
multiplication,362,0,94875856,8,0.051000
elemwise_multiplication,362,0,131044,1,0.000333
addition,362,1,131044,4,0.000333
duplication,362,1,131044,4,0.000333
multiplication,362,1,94875856,8,0.051667
elemwise_multiplication,362,1,131044,4,0.000000
addition,363,0,131769,8,0.000333
duplication,363,0,131769,4,0.000000
multiplication,363,0,95664294,8,0.051000
elemwise_multiplication,363,0,131769,4,0.000000
addition,363,1,131769,4,0.000000
duplication,363,1,131769,1,0.000333
multiplication,363,1,95664294,8,0.051667
elemwise_multiplication,363,1,131769,1,0.000333
addition,364,0,132496,4,0.000333
duplication,364,0,132496,8,0.000000
multiplication,364,0,96457088,8,0.064333
elemwise_multiplication,364,0,132496,1,0.000333
addition,364,1,132496,2,0.000333
duplication,364,1,132496,2,0.000333
multiplication,364,1,96457088,8,0.072333
elemwise_multiplication,364,1,132496,4,0.000000
addition,365,0,133225,4,0.000000
duplication,365,0,133225,1,0.000333
multiplication,365,0,97254250,8,0.054000
elemwise_multiplication,365,0,133225,8,0.000000
addition,365,1,133225,2,0.000333
duplication,365,1,133225,2,0.000333
multiplication,365,1,97254250,8,0.056000
elemwise_multiplication,365,1,133225,4,0.000000
addition,366,0,133956,2,0.000333
duplication,366,0,133956,2,0.000333
multiplication,366,0,98055792,8,0.052333
elemwise_multiplication,366,0,133956,4,0.000000
addition,366,1,133956,2,0.000333
duplication,366,1,133956,8,0.000000
multiplication,366,1,98055792,8,0.054667
elemwise_multiplication,366,1,133956,1,0.000333
addition,367,0,134689,4,0.000333
duplication,367,0,134689,2,0.000333
multiplication,367,0,98861726,8,0.053000
elemwise_multiplication,367,0,134689,2,0.000333
addition,367,1,134689,2,0.000333
duplication,367,1,134689,8,0.000000
multiplication,367,1,98861726,8,0.055667
elemwise_multiplication,367,1,134689,4,0.000000
addition,368,0,135424,4,0.000000
duplication,368,0,135424,2,0.000333
multiplication,368,0,99672064,16,0.053000
elemwise_multiplication,368,0,135424,1,0.000333
addition,368,1,135424,4,0.000333
duplication,368,1,135424,4,0.000333
multiplication,368,1,99672064,8,0.052667
elemwise_multiplication,368,1,135424,1,0.000333
addition,369,0,136161,2,0.000333
duplication,369,0,136161,2,0.000333
multiplication,369,0,100486818,8,0.054000
elemwise_multiplication,369,0,136161,4,0.000000
addition,369,1,136161,4,0.000333
duplication,369,1,136161,1,0.000333
multiplication,369,1,100486818,8,0.056667
elemwise_multiplication,369,1,136161,2,0.000333
addition,370,0,136900,2,0.000333
duplication,370,0,136900,8,0.000000
multiplication,370,0,101306000,8,0.054000
